institution name,longitude,latitude,In-state min tuition,In-state max tuition,Out-of-state min tuition ,Out-of-state max tuition,Undergraduate enrollment,Graduate enrollment,Graduation rate,is_public,fees,location,aboutText
University of Rhode Island,-71.527356,41.484691,14116.0,15402.0,29904.0,33512.0,14670.0,2681.0,70.0,True,2292.0,"Kingston, Rhode Island","A public university located in Kingston, Rhode Island"
Rhode Island School of Design,-71.409309,41.827114,58690.0,58690.0,58690.0,58690.0,2092.0,448.0,88.0,False,1070.0,"Providence, Rhode Island","A private university located in Providence, Rhode Island"
Roger Williams University,-71.260374,41.650214,21744.0,42336.0,21744.0,42336.0,4050.0,294.0,67.0,False,330.0,"Bristol, Rhode Island","A private university located in Bristol, Rhode Island"
Salve Regina University,-71.30124,41.471545,12600.0,47180.0,12600.0,47180.0,2117.0,719.0,75.0,False,750.0,"Newport, Rhode Island","A private university located in Newport, Rhode Island"
Empire Beauty School-Warwick,-71.422425,41.821724,25547.5,34560.53846153846,27459.5,37930.769230769234,132.0,0.0,66.0,False,,"Providence, Rhode Island","A private university located in Providence, Rhode Island"
Northpoint Bible College,-71.079335,42.765357,12750.0,27702.657142857144,12750.0,28825.657142857144,92.0,36.0,46.0,False,1410.0,"Haverhill, Massachusetts","A private university located in Haverhill, Massachusetts"
Aiken Technical College,-81.841666,33.533833,4896.0,14779.441176470587,6408.0,19594.08823529412,2218.0,0.0,46.75,True,508.0,"Graniteville, South Carolina","A public university located in Graniteville, South Carolina"
Allen University,-81.020045,34.010348,8100.0,12540.0,8100.0,12540.0,635.0,42.0,13.0,False,1764.0,"Columbia, South Carolina","A private university located in Columbia, South Carolina"
Anderson University,-82.640358,34.5152,14763.0,32710.0,14763.0,32710.0,3413.0,912.0,68.0,False,870.0,"Anderson, South Carolina","A private university located in Anderson, South Carolina"
Charleston Southern University,-80.072587,32.983047,18994.0,30380.0,18994.0,30380.0,2914.0,631.0,49.0,False,650.0,"Charleston, South Carolina","A private university located in Charleston, South Carolina"
Technical College of the Lowcountry,-80.689468,32.420197,5736.0,14779.441176470587,10680.0,19594.08823529412,2349.0,0.0,46.75,True,364.0,"Beaufort, South Carolina","A public university located in Beaufort, South Carolina"
Benedict College,-81.020403,34.012941,12120.0,15400.0,12120.0,15400.0,1694.0,37.0,21.0,False,2600.0,"Columbia, South Carolina","A private university located in Columbia, South Carolina"
Bob Jones University,-82.365838,34.874016,9734.0,19756.0,9734.0,19756.0,2477.0,416.0,70.0,False,2140.0,"Greenville, South Carolina","A private university located in Greenville, South Carolina"
Southern Wesleyan University,-82.761586,34.728068,12696.0,26520.0,12696.0,26520.0,887.0,301.0,53.0,False,1350.0,"Central, South Carolina","A private university located in Central, South Carolina"
Charleston Cosmetology Institute,-80.111988,32.91777,14779.441176470587,15428.516129032258,19594.08823529412,20313.0,89.0,0.0,46.75,False,,"Charleston, South Carolina","A private university located in Charleston, South Carolina"
College of Charleston,-79.939794,32.784225,12518.0,13770.0,36398.0,40038.0,10660.0,1069.0,65.0,True,460.0,"Charleston, South Carolina","A public university located in Charleston, South Carolina"
Charzanne Beauty College,-82.138883,34.212583,14779.441176470587,15428.516129032258,19594.08823529412,20313.0,32.0,0.0,46.75,False,,"Greenwood, South Carolina","A private university located in Greenwood, South Carolina"
Northeastern Technical College,-79.939245,34.698248,5088.0,14779.441176470587,5088.0,19594.08823529412,1477.0,0.0,46.75,True,936.0,"Cheraw, South Carolina","A public university located in Cheraw, South Carolina"
Citadel Military College of South Carolina,-79.958775,32.797183,8356.0,12540.0,18390.0,32400.0,2661.0,1066.0,73.0,True,4214.0,"Charleston, South Carolina","A public university located in Charleston, South Carolina"
Claflin University,-80.854319,33.498444,10530.0,16476.0,10530.0,16476.0,1754.0,81.0,49.0,False,570.0,"Orangeburg, South Carolina","A private university located in Orangeburg, South Carolina"
Clemson University,-82.835114,34.679381,11220.0,14038.0,23372.0,37982.0,22875.0,5872.0,88.0,True,1516.0,"Clemson, South Carolina","A public university located in Clemson, South Carolina"
